authorId,contrib_index,description,type,syntax,semantic
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,"L'impôt doit être progressif, même pour les artistes et les chefs d'entreprise, les sportifs, etc.",proposition,positive,positive
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,La fiscalité devra être fixée dans les six mois après la prise de fonction du nouveau gouvernement (constitution),statement,positive,neutral
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Toutes les sociétés étrangères réalisant des affaires en France doivent payer un impôt ou une taxe sur chiffre d'affaire,proposition,positive,negative
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,"Une nouvelle TVA à 30% doit être installée pour les produits de luxe (voiture, bijoux, arts, etc.)",proposition,positive,negative
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Plafonnement des salaires des hauts fonctionnaires ne pouvant pas être supérieur au privé (PDG) moyen européen,proposition,positive,negative
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Transparence totale sur les salaires des assemblées et du gouvernement et des hauts fonctionnaires,proposition,positive,neutral
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Mise à plat de toutes les niches fiscales (fin des abattements fiscaux pour les journalistes),proposition,positive,negative
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Rétablir l'ISF sans délai,statement,negative,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Incorporer tous les éléments de fortune,proposition,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Dans son assiette,statement,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Aucune autre dérogation ni exception,proposition,negative,negative
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Fraction (25%) de la résidence principale,statement,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Sommes investies durablement (5 ans) dans une entreprise française,proposition,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Affectation en FRANCE,statement,positive,neutral
VXNlcjo5MmY3ZTU5Yy0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,12,Une réelle égalité entre les citoyens serait réelle,statement,negative,neutral
VXNlcjo4ZGU4OTA0OS0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,14,"[PARSE_FAIL] CSV illisible: Error tokenizing data. C error: Expected 4 fields in line 26, saw 5
",statement,positive,neutral
VXNlcjphZTgzMjI3My0xYTI1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,15,Réduire les dépenses est essentiel pour améliorer la situation financière,statement,negative,neutral
VXNlcjphZTgzMjI3My0xYTI1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,15,Tuer les coûts signifie éliminer les inutiles et optimiser l'utilisation des ressources,proposition,negative,negative
VXNlcjo5MzI1NmZiOC0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,16,Abandonner l'euro pourrait être une solution pour sortir de la crise économique,statement,negative,neutral
VXNlcjo5MzI1NmZiOC0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,16,L'euro est un système monétaire qui ne fonctionne plus,statement,negative,negative
VXNlcjo5MzI1NmZiOC0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,16,La France devrait abandonner l'euro et adopter une nouvelle devise nationale,proposition,negative,negative
VXNlcjpiOWQ1ZmNhYS0xZDU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,20,Les plus riches doivent être taxés plus que les classes populaires et moyennes,statement,negative,positive
VXNlcjpiOWQ1ZmNhYS0xZDU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,20,Les impôts sur le revenu doivent être révisés pour favoriser la justice sociale,proposition,positive,negative
VXNlcjpiOWQ1ZmNhYS0xZDU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,20,Les tranches populaires et moyennes sont trop touchées par l'impôt sur le revenu,statement,negative,negative
VXNlcjo4ZGI1YWI3ZS0xZDRmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,21,Augmenter le pouvoir d'achat est un objectif économique clé,statement,positive,neutral
VXNlcjo4ZGI1YWI3ZS0xZDRmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,21,Les politiques de réduction des impôts et des cotisations sociales peuvent augmenter le pouvoir d'achat,proposition,positive,positive
VXNlcjo4ZGI1YWI3ZS0xZDRmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,21,La création d'emplois et la baisse du chômage sont également essentielles pour améliorer le pouvoir d'achat,statement,positive,neutral
VXNlcjo4ZGI1YWI3ZS0xZDRmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,21,Les entreprises doivent investir dans l'économie réelle pour stimuler la croissance et augmenter le pouvoir d'achat,proposition,negative,negative
VXNlcjpiNGRkNjhkMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,24,Créer deux tranches supplémentaires d'imposition,statement,positive,neutral
VXNlcjpiNGRkNjhkMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,24,La première tranche est de 25 000 à 50 000 et est imposée à 20%,proposition,negative,negative
VXNlcjpiNGRkNjhkMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,24,La deuxième tranche est de 50 001 à 75 000 et est imposée à 30%,proposition,negative,negative
VXNlcjpiNGRkNjhkMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,24,La troisième tranche est de 75 001 à 100 000 et est imposée à 35%,proposition,negative,negative
VXNlcjpiNGRkNjhkMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,24,La quatrième tranche est de 100 001 à 150 000 et est imposée à 42%,proposition,negative,negative
VXNlcjpiOWQ1ZmNhYS0xZDU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,26,Les plus riches doivent être taxés plus que les tranches populaires et les classes moyennes,statement,negative,positive
VXNlcjpiOWQ1ZmNhYS0xZDU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,26,Ajouter une tranche supplémentaire aux impôts sur le revenu pour atteindre cet objectif,proposition,positive,neutral
VXNlcjpmZmMzYjk5NC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,27,Tout le monde devrait payer l'impôt sur le revenu,statement,negative,neutral
VXNlcjpmZmMzYjk5NC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,27,Diminuer l'impôt sur le revenu pour tous ceux qui sont dans les tranches 14% et 30%,proposition,positive,positive
VXNlcjo5NmRhNzBkMS0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,28,"[PARSE_FAIL] Colonnes manquantes: ['description', 'type', 'syntax', 'semantic']",statement,positive,neutral
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Les modes de contraception sont disponibles et bien répandus dans notre pays,statement,positive,neutral
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Avoir une famille nombreuse est un choix,proposition,positive,neutral
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Certaines familles ont de multiples enfants pour des revenus conséquents des allocations familiales,statement,negative,negative
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,L'attitude a pris le nom 'de l'argent braguette' dans les Antilles,statement,positive,neutral
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Un enfant né d'une famille nombreuse est beaucoup moins entouré et aidé,statement,negative,negative
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Ce qui réduit ses chances de réaliser des études,proposition,negative,negative
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,L'enfant est remis 'au bon soins de la société française',statement,positive,negative
VXNlcjo0NzI4YmQyMi0xZDY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,29,Je propose de ne pas augmenter les allocations familiales à partir du quatrième enfant,proposition,negative,negative
VXNlcjpmZWE3ODgwOS0xZDhlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,30,Les impôts devraient être identiques pour toutes les catégories sociales,statement,negative,neutral
VXNlcjpmZWE3ODgwOS0xZDhlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,30,Les revenus modestes sont affectés par l'inefficacité de l'imposition progressive,proposition,positive,negative
VXNlcjpmZWE3ODgwOS0xZDhlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,30,L'imposition progressive est inefficace car elle pénalise les ménages modestes,proposition,negative,negative
VXNlcjpmZWE3ODgwOS0xZDhlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,30,Les impôts devraient être réformés pour prendre en compte les revenus modestes,proposition,positive,neutral
VXNlcjo1ZGQ2N2VhYS0xOTkwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,31,La simplification est un objectif commun entre les entreprises publiques et privées,statement,positive,neutral
VXNlcjo1ZGQ2N2VhYS0xOTkwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,31,L'alignement des politiques publiques et privées permet de réduire les coûts et améliorer l'efficacité,proposition,positive,positive
VXNlcjo1ZGQ2N2VhYS0xOTkwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,31,Les entreprises indépendantes peuvent également bénéficier de la simplification pour se concentrer sur leur activité principale,statement,positive,neutral
VXNlcjo1ZGQ2N2VhYS0xOTkwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,31,L'alignement public-privé permet de créer des synergies et d'améliorer la gouvernance,proposition,positive,positive
VXNlcjo1ZGQ2N2VhYS0xOTkwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,31,La simplification peut également aider les entreprises à se débarrasser de processus inutiles et à se concentrer sur leur valeur ajoutée,statement,negative,neutral
VXNlcjoxNDMyZDdlMy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,33,"Arrêter de taxer les indépendants, les petites entreprises et PME aux mêmes taux que les multinationales",statement,negative,negative
VXNlcjoxNDMyZDdlMy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,33,Mettre en place un impôt sur les sociétés cohérents avec celui des autres pays de l'UE,proposition,positive,neutral
VXNlcjoxNDMyZDdlMy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,33,Pour inciter à la création d'entreprise au lieu de 'racketter les petites entreprises',proposition,positive,positive
VXNlcjoxNDMyZDdlMy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,33,"Payer des impôts sur le CA, des cotisations quand nous prenons du salaire et après sur l'impôt sur le revenu",statement,negative,negative
VXNlcjoxNDMyZDdlMy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,33,Arrêter de matraquer les classes moyennes,statement,negative,negative
VXNlcjpjYzM3NjY4My0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,36,La redistribution de l'impôt est un concept qui vise à réduire les inégalités économiques,statement,positive,neutral
VXNlcjpjYzM3NjY4My0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,36,L'impôt doit être redistribué pour favoriser les plus démunis et réduire la pauvreté,proposition,positive,negative
VXNlcjpjYzM3NjY4My0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,36,La redistribution de l'impôt est un moyen d'améliorer l'équité fiscale et promouvoir une société plus égalitaire,statement,positive,neutral
VXNlcjpjYzM3NjY4My0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,36,L'État doit intervenir pour redistribuer les richesses et réduire les inégalités économiques,proposition,negative,negative
VXNlcjpmMmZkNWNjZC0xYWY3LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,38,Augmenter le plafond pour le crédit d’impôts pour frais de garde des jeunes enfants,proposition,positive,neutral
VXNlcjpmMmZkNWNjZC0xYWY3LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,38,Augmenter le plafond de déduction de la demi-part pour l'IR de 1500 à 2000 euros,proposition,positive,neutral
VXNlcjpmMmZkNWNjZC0xYWY3LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,38,Scinder la tranche 27 520 € à 73 779 € en deux tranches avec des taux d'imposition différents,proposition,negative,neutral
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,La production en France est beaucoup plus taxée que dans les autres pays,statement,negative,negative
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Cela crée une concurrence déloyale,statement,negative,negative
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,La taxation doit être faite sur la consommation et non sur la production,proposition,positive,neutral
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Acheter un téléviseur ne finance pas les retraites car non fabriquées en Europe,statement,negative,negative
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Les aides sociales sont une mutualisation des risques et il y a des règles à respecter,statement,positive,neutral
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Les aides doivent servir à sortir la tête de l'eau pour faire face à un accident de la vie,proposition,positive,positive
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Les aides ne doivent pas entretenir chichement une population très au fait de leurs droits et non spécialement de leurs devoirs,statement,negative,negative
VXNlcjpmZGEwZTUzZS0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,39,Le travail et le retour au travail doit être le cœur de la création de valeur,proposition,positive,neutral
VXNlcjozOWQwNzJjNC0xZDEwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,40,Plus de tranches de taxation au niveau de l'impôt,statement,negative,negative
VXNlcjozOWQwNzJjNC0xZDEwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,40,Remettre l'ISF qui rapporterait 3 milliards,proposition,positive,neutral
VXNlcjozOWQwNzJjNC0xZDEwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,40,Réduire la TVA sur les produits de première nécessité (alimentaire et autres),proposition,positive,positive
VXNlcjozOWQwNzJjNC0xZDEwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,40,Augmenter la TVA sur les produits de luxe,proposition,negative,negative
VXNlcjozOWQwNzJjNC0xZDEwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,40,Augmenter la TVA sur les actions en bourse,proposition,negative,negative
VXNlcjoyMTVjYzkwMi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,41,"[PARSE_FAIL] CSV illisible: Error tokenizing data. C error: Expected 4 fields in line 7, saw 5
",statement,positive,neutral
VXNlcjo0YjJjOTczYy0xZDZhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,42,Payer l'impôt dès le premier euro touché,statement,negative,neutral
VXNlcjozZDZhODAyOC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,43,Les gouvernements doivent réduire les taux d'imposition pour encourager l'investissement et la croissance économique,statement,negative,positive
VXNlcjozZDZhODAyOC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,43,L'augmentation des impôts peut avoir un impact négatif sur l'économie et freiner le développement,statement,negative,negative
VXNlcjozZDZhODAyOC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,43,Les entreprises doivent être incitées à investir en créant un environnement favorable aux affaires,proposition,positive,neutral
VXNlcjozZDZhODAyOC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,43,La réduction des impôts peut également favoriser la création d'emplois et améliorer la situation économique,statement,negative,positive
VXNlcjozZDZhODAyOC0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,43,L'imposition excessive peut conduire à une fuite de capitaux et à une stagnation économique,statement,negative,negative
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,La collectivité doit assurer la possibilité pour chacun de maintenir son train de vie,statement,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,"Les besoins primaires sont la nourriture, le logement et les déplacements domicile-travail",statement,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,"L'augmentation des salaires, retraites et allocations doit se faire en euros, pas en pourcentages",proposition,positive,positive
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,"Exemple : augmentation de 100 euros mensuel pour tous, qu'ils gagnent 1 SMIC ou 5 SMIC (2019)",statement,negative,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,Le système actuel en pourcentage favorise les personnes à hauts revenus,statement,negative,negative
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,"Il est important de considérer que les besoins primaires sont les mêmes pour tous, quels que soient leurs revenus",proposition,positive,positive
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,44,"Dans des périodes économiques difficiles, il n'y a pas d'augmentation pour ceux qui gagnent plus de 3 SMIC",proposition,negative,negative
VXNlcjpmMDM3OTY0Yi0xZTE4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,45,Les riches doivent payer des impôts,statement,negative,neutral
VXNlcjpmMDM3OTY0Yi0xZTE4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,45,les pauvres devraient payer aussi des impôts,proposition,positive,negative
VXNlcjpmMDM3OTY0Yi0xZTE4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,45,pour que tout le monde soit égal,proposition,negative,positive
VXNlcjpmMDM3OTY0Yi0xZTE4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,45,participer aux dépenses publiques responsabiliser tout le monde,proposition,positive,positive
VXNlcjo2ZjEzZWZhYS0xZDU1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,46,"Les contribuables, y compris les exilés fiscaux, payent l'impôt sur le revenu",statement,negative,neutral
VXNlcjo2ZjEzZWZhYS0xZDU1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,46,L'exemple des États-Unis montre que les contribuables délocalisés payent un différentiel au trésor public américain,proposition,positive,negative
VXNlcjpjMTM1OTZkOC0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,47,Les plus riches devraient être taxés en fonction de leurs revenus réels,statement,negative,positive
VXNlcjpjMTM1OTZkOC0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,47,Ces derniers ne bénéficient pas du système de santé français gratuitement,statement,negative,negative
VXNlcjpjMTM1OTZkOC0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,47,Ils sont fiscalement domiciliés hors de France,statement,negative,neutral
VXNlcjpjMTM1OTZkOC0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,47,Les expatriés français ne devraient plus bénéficier du système de santé français gratuitement si ils sont fiscalement domiciliés hors de France,proposition,negative,negative
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,Simplification est un processus qui vise à réduire la complexité d'un système,statement,positive,neutral
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,Les systèmes complexes nécessitent une simplification pour être compris et utilisés efficacement,proposition,positive,positive
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,La simplification permet de réduire les erreurs et améliorer l'expérience utilisateur,proposition,negative,positive
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,Simplifier un système ne signifie pas le rendre idiot ou inintelligent,statement,negative,neutral
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,Les systèmes simplifiés sont plus faciles à maintenir et à mettre à jour,proposition,positive,positive
VXNlcjozNjVjZjIzZC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,48,La simplification est essentielle pour améliorer la productivité et la efficacité des systèmes,proposition,positive,positive
VXNlcjplZmZmMzg4Mi0xY2I2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,50,Supprimer les tranches d'imposition,statement,negative,neutral
VXNlcjplZmZmMzg4Mi0xY2I2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,50,Instaurer un impôt proportionnel,proposition,positive,neutral
VXNlcjplZmZmMzg4Mi0xY2I2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,50,Remettre l'ISF sur les plus hauts revenus,proposition,positive,negative
VXNlcjplZmZmMzg4Mi0xY2I2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,50,Supprimer l'augmentation de la CSG pour l'ensemble des retraités,proposition,positive,neutral
VXNlcjo5ZjYxN2MyYS0xOWM5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,52,Réintégrer dans l'impôt sur le revenu des revenus qui aujourd'hui n'y sont pas soumis,statement,negative,neutral
VXNlcjo5ZjYxN2MyYS0xOWM5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,52,Créer en conséquences plus de tranches progressives d'impôt,proposition,positive,positive
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,Les entreprises hyper rentables sont des leaders dans leur secteur,statement,positive,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,Ces entreprises ont une présence internationale et un chiffre d'affaires élevé,statement,positive,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,Total est leader dans l'énergie avec un chiffre d'affaires de 220 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,BNP Paribas est leader dans les services financiers avec un chiffre d'affaires de 80 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,Sanofi est leader dans la santé avec un chiffre d'affaires de 40 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,AXA est leader dans l'assurance avec un chiffre d'affaires de 100 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,LVMH est leader dans le luxe avec un chiffre d'affaires de 50 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,L'Oréal est leader dans la beauté avec un chiffre d'affaires de 30 milliards d'euros,statement,negative,neutral
VXNlcjo3M2YxN2NlZS0xZDRiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,53,Note: The syntax and semantic annotations are based on the content of each sentence.,statement,positive,neutral
VXNlcjoyYTExNzJkMC0xOWQwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,55,Les idées principales sont à extraire,statement,positive,neutral
VXNlcjoyYTExNzJkMC0xOWQwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,55,Seuls le contenu entre <<< TEXT >>> est utilisé,statement,negative,neutral
VXNlcjoyYTExNzJkMC0xOWQwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,55,Extraire la liste des idées DISTINCTES et PRINCIPALES,proposition,positive,positive
VXNlcjoyYTExNzJkMC0xOWQwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,55,"Chaque idée = une phrase claire, autonome, reformulée si nécessaire",statement,positive,neutral
